"year","university","tuition_and_fees","total_expenses","total_salaries"
"2015","105428","9545190.0","","38188800.0"
"2015","105482","871587.0","","573414.0"
"2015","105525","27860572.0","199356000.0","100614000.0"
"2015","105534","17607512.0","17520500.0","7161500.0"
"2015","105543","9074415.0","10755000.0","4476770.0"
"2015","105589","12239821.0","14812900.0","6503010.0"
"2015","105659","10099829.0","8877270.0","2466110.0"
"2015","105668","36779314.0","","47238100.0"
"2015","105677","735196.0","","550809.0"
"2015","105701","189541.0","","118547.0"
"2015","105747","12961097.0","","34660700.0"
"2015","105792","2625310.0","","17959700.0"
"2015","105899","5455554.0","14408300.0","5443580.0"
"2015","105987","4096774.0","","1871800.0"
"2015","106041","43422000.0","40637000.0","12565000.0"
"2015","106102","6556285.0","25665900.0","10901100.0"
"2015","106111","1241084.0","","427966.0"
"2015","106148","8930193.0","61764700.0","26657400.0"
"2015","106245","48439546.0","191993000.0","92898600.0"
"2015","106263","37499000.0","1352490000.0","709559000.0"
"2015","106281","111952.0","","126442.0"
"2015","106306","7035206.0","19333800.0","8533860.0"
"2015","106315","308334.0","","143076.0"
"2015","106324","351112.0","","84509.0"
"2015","106342","6285439.0","20484600.0","6264610.0"
"2015","106351","2248089.0","","525295.0"
"2015","106360","839475.0","","139874.0"
"2015","106397","189315846.0","767907000.0","338014000.0"
"2015","106412","3907903.0","74397600.0","31681100.0"
"2015","106449","5783908.0","32454200.0","15055000.0"
"2015","106458","45735587.0","202930000.0","90011500.0"
"2015","106467","35725579.0","128680000.0","51095900.0"
"2015","106485","9543042.0","49033400.0","20332700.0"
"2015","106494","1206420.0","","449344.0"
"2015","106546","4690612.0","","5569840.0"
"2015","106625","2455489.0","20407400.0","8028480.0"
"2015","106704","53367982.0","184364000.0","80080200.0"
"2015","106713","6365544.0","10289500.0","4434730.0"
"2015","106795","1408777.0","12772600.0","5776030.0"
"2015","106810","1563060.0","2520120.0","1170130.0"
"2015","106829","118538.0","","2457300.0"
"2015","106883","1221461.0","12996400.0","5761490.0"
"2015","106892","2292556.0","","1774750.0"
"2015","106908","2859603.0","","1359440.0"
"2015","106980","3052412.0","27671600.0","11567900.0"
"2015","106999","1164331.0","13046600.0","5675980.0"
"2015","107044","72476635.0","121210000.0","48833200.0"
"2015","107071","11125811.0","58389300.0","24795400.0"
"2015","107080","17883666.0","55740100.0","22373800.0"
"2015","107099","521499.0","","225462.0"
"2015","107123","441318.0","","819740.0"
"2015","107141","23547367.0","50142100.0","22231200.0"
"2015","107211","221977.0","","213513.0"
"2015","107220","2580142.0","","1400550.0"
"2015","107293","683847.0","","496342.0"
"2015","107318","2790851.0","25203800.0","8834320.0"
"2015","107327","1032099.0","19236100.0","8836140.0"
"2015","107363","326992.0","","165152.0"
"2015","107442","267298.0","","146584.0"
"2015","107460","1463139.0","21967000.0","8926460.0"
"2015","107488","948365.0","","3538410.0"
"2015","107512","15721137.0","41606500.0","11699100.0"
"2015","107521","1817844.0","12320200.0","5863210.0"
"2015","107549","926026.0","12762900.0","5439100.0"
"2015","107558","6566359.0","19718700.0","7720500.0"
"2015","107585","2990446.0","17218200.0","7764820.0"
"2015","107600","4268687.0","17484700.0","6286230.0"
"2015","107619","654208.0","21891900.0","10040400.0"
"2015","107637","1961002.0","17006300.0","6925660.0"
"2015","107655","201127.0","","106486.0"
"2015","107664","10266929.0","58113300.0","24623100.0"
"2015","107725","1089440.0","14123100.0","5585980.0"
"2015","107743","859978.0","10548200.0","4180530.0"
"2015","107789","1472904.0","","402485.0"
"2015","107831","224222.0","","282568.0"
"2015","107840","1558449.0","2818040.0","1626840.0"
"2015","107877","3473475.0","8480490.0","3324120.0"
"2015","107974","2049207.0","18203800.0","8189410.0"
"2015","107983","12663767.0","51785700.0","23561000.0"
"2015","107992","2651210.0","16864600.0","7653050.0"
"2015","108056","0.0","185961000.0","5482370.0"
"2015","108065","9750.0","","88318.0"
