"year","university","tuition_and_fees","total_expenses"
"2015","107512","15721137.0","41606500.0"
"2015","107521","1817844.0","12320200.0"
"2015","107549","926026.0","12762900.0"
"2015","107558","6566359.0","19718700.0"
"2015","107585","2990446.0","17218200.0"
"2015","107600","4268687.0","17484700.0"
"2015","107619","654208.0","21891900.0"
"2015","107637","1961002.0","17006300.0"
"2015","107655","201127.0",""
"2015","107664","10266929.0","58113300.0"
"2015","107725","1089440.0","14123100.0"
"2015","107743","859978.0","10548200.0"
"2015","107789","1472904.0",""
"2015","107831","224222.0",""
"2015","107840","1558449.0","2818040.0"
"2015","107877","3473475.0","8480490.0"
"2015","107974","2049207.0","18203800.0"
"2015","107983","12663767.0","51785700.0"
"2015","107992","2651210.0","16864600.0"
"2015","108056","0.0","185961000.0"
"2015","108065","9750.0",""
"2015","108092","13845767.0","76633200.0"
"2015","108232","277386567.0","294991000.0"
"2015","108250","8339003.0","7052500.0"
"2015","108269","1729065.0","1869750.0"
"2015","108348","794642.0",""
"2015","108649","2136421.0",""
"2015","108667","3730794.0",""
"2015","108807","4321342.0","94745900.0"
"2015","108852","7493673.0","6673380.0"
"2015","108861","463955.0","2714020.0"
"2015","108870","12245746.0","32031000.0"
"2015","108977","451907.0",""
"2015","109040","62570043.0","66543900.0"
"2015","109086","2255664.0","22879600.0"
"2015","109208","9703541.0",""
"2015","109350","2984070.0","119069000.0"
"2015","109651","72264000.0","110374000.0"
"2015","109721","4226907.0",""
"2015","109730","2127509.0",""
"2015","109785","182079798.0","238377000.0"
"2015","109819","6280689.0","196888000.0"
"2015","109907","664783.0","20708500.0"
"2015","109934","2537483.0",""
"2015","110060","1631646.0","4224030.0"
"2015","110097","117442000.0","152760000.0"
"2015","110185","11550248.0","17134500.0"
"2015","110194","1531062.0",""
"2015","110219","19254526.0","19396000.0"
"2015","110246","7981930.0","137561000.0"
"2015","110307","4521939.0","7148260.0"
"2015","110316","21111630.0","23830300.0"
"2015","110334","7838168.0","106173000.0"
"2015","110361","148893828.0","154880000.0"
"2015","110370","59012000.0","64494000.0"
"2015","110398","31209462.0","59547900.0"
"2015","110404","38065000.0","2417640000.0"
"2015","110413","77741201.0","106828000.0"
"2015","110422","161722079.0","411224000.0"
"2015","110468","58067889.0","68747100.0"
"2015","110486","23892901.0","136315000.0"
"2015","110495","35087447.0","146534000.0"
"2015","110501","3073494.0","478964000.0"
"2015","110510","62407246.0","265623000.0"
"2015","110529","95953496.0","323655000.0"
"2015","110538","76156467.0","256114000.0"
"2015","110547","52300879.0","195549000.0"
"2015","110556","74405764.0","318384000.0"
"2015","110565","172933165.0","518977000.0"
"2015","110574","83665282.0","240123000.0"
"2015","110583","154536147.0","479660000.0"
"2015","110592","87121975.0","324340000.0"
"2015","110608","182507980.0","516452000.0"
"2015","110617","121036118.0","408443000.0"
"2015","110635","730157000.0",""
"2015","110644","460452000.0",""
"2015","110653","446990000.0",""
"2015","110662","668355000.0",""
"2015","110671","275070000.0",""
"2015","110680","500926000.0",""
"2015","110699","56919000.0",""
"2015","110705","325013000.0",""
"2015","110714","223959000.0",""
"2015","110778","5658650.0","6629310.0"
"2015","110875","727293.0",""
"2015","110918","138201.0","464004.0"
"2015","111009","6019921.0","19959400.0"
"2015","111054","1809055.0",""
"2015","111081","43815603.0","61750100.0"
"2015","111188","10487655.0","56280500.0"
"2015","111391","20612116.0","27921700.0"
"2015","111434","3224094.0","46761100.0"
"2015","111461","11743183.0","146379000.0"
"2015","111513","1368224.0",""
"2015","111638","7040297.0","7211240.0"
"2015","111708","1645380.0",""
"2015","111717","2759520.0",""
"2015","111726","2993696.0",""
"2015","111744","751132.0",""
"2015","111762","944933.0",""
"2015","111799","795340.0",""
"2015","111887","9484305.0","167981000.0"
"2015","111896","1518373.0",""
"2015","111920","8817957.0","119124000.0"
"2015","111939","9314421.0","144339000.0"
"2015","111948","222937879.0","252205000.0"
"2015","111966","13938500.0","47984300.0"
"2015","112075","58754662.0","65915800.0"
"2015","112084","17031370.0","16741700.0"
"2015","112127","538214.0","4717960.0"
"2015","112172","9683258.0","106027000.0"
"2015","112181","578662.0",""
"2015","112190","19698403.0","315465000.0"
"2015","112251","39791883.0","69217900.0"
"2015","112260","43145000.0","103871000.0"
"2015","112288","4478604.0",""
"2015","112367","556358.0",""
"2015","112376","4242623.0","46783300.0"
"2015","112385","4605878.0","50788900.0"
"2015","112394","8463746.0","11242500.0"
"2015","112446","8203348.0","13642200.0"
"2015","112455","462404.0",""
"2015","112525","166800801.0","174642000.0"
"2015","112561","922023.0",""
"2015","112570","7196671.0","7627620.0"
"2015","112686","1329367.0","46412000.0"
"2015","112817","0.0","279971000.0"
"2015","112826","3177459.0",""
"2015","113096","4541366.0",""
"2015","113111","1963543.0",""
"2015","113193","6732117.0","89837900.0"
"2015","113218","2260386.0",""
"2015","113236","7440024.0",""
"2015","113333","28587989.0",""
"2015","113449","1236065.0",""
"2015","113537","619183.0","1136870.0"
"2015","113573","5139307.0","106935000.0"
"2015","113582","3382925.0","3387210.0"
"2015","113634","25547932.0",""
"2015","113698","42307823.0","55093300.0"
"2015","113704","722617.0","2732550.0"
"2015","113856","12593463.0",""
"2015","113980","15493536.0","214888000.0"
"2015","114044","5110225.0",""
"2015","114114","2606291.0","3296240.0"
"2015","114123","5348534.0","5980850.0"
"2015","114266","3800084.0",""
"2015","114354","107970319.0","108794000.0"
"2015","114433","934118.0","22415200.0"
"2015","114460","2214762.0",""
"2015","114549","20601982.0","21428800.0"
"2015","114585","4800862.0","5630980.0"
"2015","114637","141659.0",""
"2015","114716","21639096.0",""
"2015","114734","176646.0","1664050.0"
"2015","114761","607365.0",""
"2015","114789","5670151.0","155941000.0"
"2015","114813","46246459.0","55253900.0"
"2015","114831","10728115.0","328802000.0"
"2015","114840","22546000.0","65919000.0"
"2015","114859","12668148.0",""
"2015","114938","2225694.0","52304500.0"
"2015","114947","9008773.0",""
"2015","115001","10929346.0","150222000.0"
"2015","115010","9150753.0",""
"2015","115083","46535141.0","56758400.0"
"2015","115126","8085463.0","89158100.0"
"2015","115214","1770063.0","7924790.0"
"2015","115287","6409392.0","186676000.0"
"2015","115296","4162064.0",""
"2015","115357","364885.0",""
"2015","115393","2283220.0","81391300.0"
"2015","115409","23273360.0","60657400.0"
"2015","115658","141915.0",""
"2015","115728","17618010.0","31364200.0"
"2015","115746","20352692.0","20689800.0"
"2015","115755","36070983.0","154626000.0"
"2015","115773","9425515.0","9807730.0"
"2015","115861","2353129.0","72779900.0"
"2015","115931","4206363.0",""
"2015","116226","2758933.0","2978740.0"
"2015","116350","3699870.0",""
"2015","116439","11830212.0",""
"2015","116466","19611210.0","10808800.0"
"2015","116475","9003174.0","7149090.0"
"2015","116484","13680581.0","8513450.0"
"2015","116563","2205361.0",""
"2015","116712","21692153.0","24943800.0"
"2015","116846","3561112.0","22932600.0"
"2015","117052","4640340.0","100258000.0"
"2015","117104","4785663.0","8335310.0"
"2015","117113","15070446.0","30067700.0"
"2015","117140","132517562.0","140190000.0"
"2015","117168","9985393.0","11328700.0"
"2015","117195","1193273.0","20844800.0"
"2015","117238","1553118.0",""
"2015","117247","7470579.0",""
"2015","117274","1343613.0","13292300.0"
"2015","117520","16312497.0","18280400.0"
"2015","117557","5695687.0","5123390.0"
"2015","117575","1665450.0","2370770.0"
"2015","117627","62042514.0","76774900.0"
"2015","117636","146176975.0","283321000.0"
"2015","117645","10193868.0","211174000.0"
"2015","117672","20965089.0","22871600.0"
"2015","117681","0.0","1224090000.0"
"2015","117690","5390979.0",""
"2015","117706","10613952.0",""
"2015","117715","1405180.0",""
"2015","117724","3387891.0",""
"2015","117733","6997852.0",""
"2015","117751","21524575.0","36365700.0"
"2015","117788","8631826.0",""
"2015","117803","550673.0",""
"2015","117867","2891445.0",""
