university,tuition_and_fees,pell_grants,total_expenses,total_salaries,retention_rate_ft
438498,55798231,8698490,57500000,24677300,60
398130,5167197,1855370,7490310,3359800,51
443784,24708456,4625380,20217800,5239230,
428268,6069282,485518,7025890,2792210,80
401339,1500668,1204990,,1007090,75
439118,6563809,1878010,,2494140,47
444158,302786915,70777100,240966000,66055400,100
430184,32742486,4209340,24209400,6292280,0
404338,8249077,596402,10079900,2447050,63
439570,8967509,2679150,6036690,2060180,32
444255,2250883,594512,,961803,66
404912,9371713,2223110,9393180,3827850,62
430704,1451727,45592,1938540,986290,57
439631,105000,175000,,105300,76
444316,612362,498284,,427314,79
407319,7063045,1642540,6335880,2106460,77
433420,6714056,1525830,21482000,2254650,45
440749,1162721,142394,,369219,33
444343,2098158,562763,1972180,1972180,86
433466,2104078,2904640,5490800,2804580,46
449074,7322239,1658350,7787510,3029080,74
440767,5719886,1951340,,1522760,80
433536,5123105,1903220,4081410,1379360,79
444404,321394,194479,,190773,89
449339,317134000,70344000,252578000,116843000,31
441876,2905935,754367,,1345890,
434140,8231333,2545890,9195050,3817200,49
444547,325095,46751,,181116,
449524,3120572,759584,3395720,1434960,61
441955,12327426,2689890,8011960,2626380,36
434317,8832847,5213850,9601860,3502280,72
445027,174021045,47541700,178522000,52822300,70
449986,3478661,780328,,1111240,90
442134,4395182,1508860,5439030,2148930,73
434690,5856430,590399,,1055680,
445230,8810506,2449470,9322520,3935450,80
442204,756322,411377,,172194,86
450067,6497414,1710910,7326480,2838520,0
436094,7606613,784435,8098210,3581740,43
446552,23138631,8221780,21748400,7832180,92
442569,48410147,30389200,70373900,28384000,
450128,4959106,1630040,,1427160,78
454458,2375205,741096,,632251,83
447014,3293804,1106850,3568210,1633870,54
442602,7426324,1958690,,3889360,78
450173,191013331,61618300,,70524300,0
454689,3681313,0,3040800,1786250,72
447050,5106503,732707,10848800,4817250,68
442718,4651621,1293220,,1766150,32
450377,8799056,1490490,6811880,1697630,43
454786,10877060,2349020,10009100,3847900,30
447360,2479810,607422,4829720,1700980,
442879,8485386,2490090,9437240,4820280,70
450401,4705036,1315540,4632330,2749880,17
454829,5225761,401823,9494050,4281000,74
447403,17296000,2232000,,6533000,0
442930,10639206,3108580,10932900,4871150,76
450571,16167384,3047620,18193000,6711230,
443216,1928683,628305,,717108,33
447421,3498855,1113310,4774910,1230090,
454883,5782046,1938090,5574170,5453470,34
450933,69806716,23717500,71282600,28317500,52
443599,4680443,840133,3889370,1259060,
447795,185675,55798,,131050,
455983,1062611,1293400,2436310,933045,
450979,40326000,3877000,71052000,19410000,53
448345,9229903,2464640,14146200,4055870,93
459842,6021375,1776400,4746100,1706140,
456038,4217905,826112,4849910,1762080,
451060,5290849,970803,5236270,2426070,88
448576,24824148,7279370,35457000,10427600,
459994,62275021,6146580,43673400,13582400,79
456348,80805470,33019500,111999000,41561200,63
451662,90131631,26353700,113285000,42029800,
448585,4406581,1307640,,1702540,
460136,9254489,2392060,11018200,4250490,100
456409,3000674,846011,3385530,896624,
451875,2217714,700022,,764508,
448600,3688318,964919,,1273930,40
456621,2232913,602945,1851680,589610,
460729,11980233,4808170,11923900,5675360,
451884,2766004,962149,,694874,57
448673,23982834,4538520,25867900,10023500,66
457688,3505789,1309900,4810930,2318420,38
460738,20461254,487254,17527400,7618580,89
452081,6029776,2079500,3797960,1519190,87
449038,33511016,6515010,29383800,8209620,100
458034,484953,159562,423174,237600,0
460808,221221,101641,,94492,67
452984,87055,0,,24000,
475839,2929288,252720,2926980,1332220,50
458122,123130,34063,,19318,67
453163,41836934,7940030,31422300,7926280,45
461005,4233503,1484290,4470200,1909920,
476595,1104706,329592,,723779,35
458432,6103620,1352060,7880660,1132480,67
453215,6561605,1427780,8790640,2632260,59
461023,7170655,3361840,4059160,2119730,
477996,1864777,644253,,574925,61
454227,246776521,14926700,,55354200,
458557,5088179,1502910,,1528160,67
461254,253631,103910,,96238,72
478005,2094362,684942,,470246,100
454236,15703364,1880810,,8334040,79
458885,2903348,580748,2284150,662643,56
461324,1878833,305360,,724337,89
478014,2292339,808522,,716265,
458919,57064441,12823500,41822500,10874500,74
482468,29065434,7170950,,10038100,60
461704,1315734,289036,,878208,46
479248,336014,553897,812105,354829,
458955,3158045,630329,2764180,959634,69
482477,343288769,52230900,,68404400,14
461883,1511737,62363,1648980,1011100,
479655,4425004,1303810,3794570,1126120,69
458964,21861080,3908770,15002000,3909110,
482529,2734781,604527,,963747,29
466152,2351934,879820,,538444,
458973,17184902,3600820,17998000,5224660,47
480064,6143026,1705390,4732610,1796820,100
482574,29036070,6588070,,8561260,63
466170,3283010,1118560,,680648,
459204,20800846,3003560,20012900,10565300,
480091,35501878,12303500,32844500,5104310,
466189,2284951,760138,,568095,
483009,214345,598942,,629731,
459231,3591044,681353,,1372630,
480657,3486630,719872,6321950,1729750,
469197,1086456,535160,,488058,
485184,40000,45000,,70000,
481207,912452,121400,,238846,
469610,11023281,3371690,,3341510,
485193,85000,42000,,70000,
481562,1039229,345630,,77628,
470092,5727149,1937950,13870800,3237620,
487302,7146208,2081300,7412620,2967380,
481766,2232349,436863,,799961,
475255,754609,320327,,191850,
475282,827771,207122,,368402,
482307,1357964,466541,,525173,
475529,796392,117271,,496176,
482325,2224022,665323,,607348,
475583,1445022,430947,,502363,
482343,1662698,527493,,420685,
482361,3277875,1181520,,1097020,
482370,2119329,758686,,595933,
482389,811523,177155,,422565,
482431,104343935,19501500,,32642100,
482440,10804674,1837740,,3725220,
482459,32605539,5816570,,11507500,
