index,year,university,retention_rate_ft
5870,2016,475282,69
6264,2016,485193,14
6106,2016,482325,
6371,2016,487302,69
6108,2016,482343,
5890,2016,475583,29
6109,2016,482361,
6113,2016,482431,47
6114,2016,482440,100
6115,2016,482459,63
