,year,university,tuition_and_fees,pell_grants,total_expenses,total_salaries
2500,2015,193858,5349101.0,1519820.0,,2586120.0
2608,2015,197081,3004761.0,853831.0,4376340.0,1072520.0
2615,2015,197285,20879990.0,4446650.0,21053600.0,11360700.0
2694,2015,198978,40373311.0,17207100.0,40615100.0,2033500.0
2759,2015,200013,10524521.0,1757530.0,11223600.0,3933720.0
2787,2015,200785,4463266.0,1606450.0,4497130.0,1584450.0
2791,2015,201016,16837937.0,5308310.0,17562900.0,7315970.0
2867,2015,203386,30094000.0,7234020.0,28098000.0,11352000.0
2949,2015,205179,21368308.0,6834760.0,22742300.0,8596260.0
2959,2015,205887,9329485.0,2901530.0,11933700.0,3469300.0
2970,2015,206224,2590740.0,940679.0,2538610.0,1217660.0
2976,2015,206394,2855452.0,569141.0,2660980.0,1450020.0
3011,2015,207254,20872859.0,2212570.0,27100300.0,8331060.0
3027,2015,207537,347648.0,90565.0,,279015.0
3062,2015,208512,4271476.0,774690.0,4168720.0,2721440.0
3069,2015,208965,9152202.0,2118820.0,7150900.0,2830090.0
3133,2015,210960,14532641.0,3682370.0,29456500.0,8723250.0
3154,2015,211477,19041388.0,3115690.0,19562700.0,9310990.0
3158,2015,211617,10058719.0,2554660.0,8210330.0,3285560.0
3269,2015,214892,3309415.0,1227290.0,4768570.0,2213840.0
3292,2015,215415,31640413.0,6711470.0,39490500.0,16670500.0
3363,2015,217323,5801884.0,1541810.0,,2491050.0
3381,2015,217749,32127304.0,4822020.0,111337000.0,38294200.0
3393,2015,217934,14994461.0,2688440.0,26983100.0,10831400.0
3449,2015,219204,14991445.0,4926950.0,97892600.0,11765700.0
3450,2015,219213,6523638.0,1885050.0,,1769590.0
3486,2015,220002,1853674.0,467506.0,18425300.0,1060600.0
3505,2015,220552,34340008.0,2316400.0,31824600.0,14666300.0
3553,2015,221795,2909335.0,612985.0,3107010.0,2920590.0
3576,2015,222886,2002419.0,773599.0,,1378490.0
3582,2015,223083,5784670.0,1068530.0,8681690.0,5398400.0
3609,2015,224439,33349399.0,7254840.0,16781300.0,10151300.0
3667,2015,226903,4776167.0,1349010.0,,2292880.0
3767,2015,230056,9442655.0,1756540.0,16347900.0,3914340.0
3776,2015,230366,4003730.0,1098110.0,5599660.0,1497660.0
3801,2015,230977,7355609.0,648345.0,10948400.0,4775360.0
3831,2015,232016,5580789.0,1340120.0,5332860.0,2084270.0
3855,2015,232797,20811398.0,6586490.0,24477600.0,8053720.0
3885,2015,233684,82621110.0,8220790.0,56437800.0,14740400.0
3907,2015,234401,504645.0,238626.0,,302431.0
3995,2015,237437,5029726.0,3212310.0,4977220.0,2554320.0
